name,address,rating,latitude,longitude,close,open,district,store_chain
KidsPlaza Hồ Tùng Mậu Hà Nội,"Đ. Hồ Tùng Mậu/242 Quận, Cầu Diễn, Bắc Từ Liêm, Hà Nội",5.0,21.0403127,105.76645,10 PM,8 AM,Bắc Từ Liêm,KidsPlaza
KidsPLaza số 220 Định Công Hạ,"220 Định Công Hạ, Định Công, Thanh Xuân, Hà Nội",4.9,20.9842321,105.8244101,10 PM,8 AM,Thanh Xuân,KidsPlaza
KidsPlaza Hai Bà Trưng,"20 Hai Bà Trưng, Hoàn Kiếm, Hà Nội,",1.0,21.051026,105.838628,10 PM,8 AM,Hoàn Kiếm,KidsPlaza
"KidsPlaza 128 Phố Xốm, P.Phú Lãm , Q.Hà Đông","128 P. Xốm, Phú Lâm, Hà Đông, Hà Nội",4.1,20.9425677,105.7566532,10 PM,8 AM,Hà Đông,KidsPlaza
"KidsPlaza số 6 Kim Ngưu, Thanh Nhàn, Hai Bà Trưng","6 P. Kim Ngưu, Vĩnh Tuy, Hai Bà Trưng, Hà Nội",3.4,21.0087425,105.8605906,10 PM,8 AM,Hai Bà Trưng,KidsPlaza
KidsPlaza,"16 Đ. Yên Phụ, Yên Phụ, Tây Hồ, Hà Nội",4.0,21.0510712,105.8389977,9:30 PM,9 AM,Tây Hồ,KidsPlaza
KidsPlaza,"446 P. Minh Khai, Vĩnh Phú, Hai Bà Trưng, Hà Nội",3.8,20.9972416,105.8657339,9:30 PM,8 AM,Hai Bà Trưng,KidsPlaza
KidsPlaza 193 Tây Mỗ,"193 Đ. Tây Mỗ, P, Nam Từ Liêm, Hà Nội",5.0,20.998185,105.751788,10 PM,8 AM,Nam Từ Liêm,KidsPlaza
KidsPlaza 35 Van Phuc,"158 đường 430, Vạn Phúc, Hà Đông, Hà Nội",4.3,20.9818483,105.7710655,10 PM,8 AM,Hà Đông,KidsPlaza
KidsPlaza,"20 Đ. Quang Trung, P. Nguyễn Trãi, Hà Đông, Hà Nội",4.2,20.9714111,105.7760619,9:30 PM,8 AM,Hà Đông,KidsPlaza
KidsPlaza Mậu Lương,"9 P. Mậu Lương, P, Hà Đông, Hà Nội",4.8,20.9567103,105.7928728,10 PM,8 AM,Hà Đông,KidsPlaza
KidsPlaza,"350 P. Bạch Mai, Bạch Mai, Hai Bà Trưng, Hà Nội",3.0,21.000722,105.8504591,10:15 PM,7:45 AM,Hai Bà Trưng,KidsPlaza
